,Unnamed: 0,generated_caption,verbs_small_model,verbs_medium_model,verbs_large_model,is_same
503,503,a woman holding a plate,['hold'],['hold'],['hold'],True
504,504,a todd playing with a fire truck,['play'],['play'],['play'],True
505,505,an astronaut in outer space,[],[],[],True
506,506,some tools,[],[],[],True
507,507,a row of shoes in a locker,[],[],[],True
508,508,two women walking on a wooden bridge,['walk'],['walk'],['walk'],True
509,509,a drum set,[],[],[],True
510,510,"the courtyard of the old town of sila, croatia",[],[],[],True
511,511,a group of children and their pets,[],[],[],True
512,512,people playing in the snow,['play'],['play'],['play'],True
513,513,a man playing a ukuleke,['play'],['play'],['play'],True
514,514,tools,[],[],[],True
515,515,chicken wings with a side of sauce and lemons,[],[],[],True
516,516,a girl holding a baseball bat,['hold'],['hold'],['hold'],True
517,517,a cyclist on a road,[],[],[],True
518,518,two people riding horses in the desert,['ride'],['ride'],['ride'],True
519,519,two penguins on an iceberg,[],[],[],True
520,520,a pair of ice skates,[],[],[],True
521,521,a little girl sitting on the floor in front of a blackboard,['sit'],['sit'],['sit'],True
522,522,a couple in a bedroom,[],[],[],True
523,523,a lynx,[],[],[],True
524,524,a tug boat in the water,[],[],[],True
525,525,a closet full of shoes,[],[],[],True
526,526,insects,['insect'],[],[],False
527,527,a man in a dressing room,[],[],['dress'],False
528,528,a woman in a black turtle neck sweater and black leather skirt,[],[],[],True
529,529,a baby in a crib,[],[],[],True
530,530,a couple in a pool,[],[],[],True
531,531,a couple cooking in the kitchen,['cook'],['cook'],['cook'],True
532,532,a puppet performance at the puppet festival,[],[],[],True
533,533,a woman wearing a red top and jeans,['wear'],['wear'],['wear'],True
534,534,a group of people posing for a photo at the top of a mountain in vietnam,['pose'],['pose'],['pose'],True
535,535,a person reaching a tree,['reach'],['reach'],['reach'],True
536,536,a set of four chinese imbas plates,[],[],[],True
537,537,a horse and carriage in a field,[],[],[],True
538,538,a metal tool,[],[],[],True
539,539,a woman holding a gun,['hold'],['hold'],['hold'],True
540,540,a skull with beer,[],[],[],True
541,541,"a woman wearing a traditional outfit in the old city of buling, pakistan",['wear'],['wear'],['wear'],True
542,542,two people in the snow,[],[],[],True
543,543,a man with a tattoo on his back,[],[],[],True
544,544,person holding her gold medal,['hold'],['hold'],['hold'],True
545,545,a man playing guitar on the beach,['play'],['play'],['play'],True
546,546,a woman in a lavender field,[],[],[],True
547,547,a wedding cake,[],[],[],True
548,548,a young boy wearing a hat,['wear'],['wear'],['wear'],True
549,549,strike logo,[],[],[],True
550,550,a fountain pen and a pencil,[],[],[],True
551,551,the city of london,[],[],[],True
552,552,a person taking a photo of a forest,['take'],['take'],['take'],True
553,553,a house plan,[],[],[],True
554,554,a woman looking out a window,['look'],['look'],['look'],True
555,555,a pink cake with roses on top,[],[],[],True
556,556,a man playing a guitar,['play'],['play'],['play'],True
557,557,a man speaking into a megaphone in a crowd,['speak'],['speak'],['speak'],True
558,558,people enjoying a fun ride on a roller coaster at the seaside amusement,['enjoy'],['enjoy'],['enjoy'],True
559,559,a woman holding a coffee cup,['hold'],['hold'],['hold'],True
560,560,three women in traditional korean dress in front of a temple,[],[],[],True
561,561,drinks and drinks on a tray,[],[],[],True
562,562,a man talking to a reporter,['talk'],['talk'],['talk'],True
563,563,a woman cutting leton,['cut'],['cut'],['cut'],True
564,564,a female wearing a green helmet,['wear'],['wear'],['wear'],True
565,565,a boy riding a bike,['ride'],['ride'],['ride'],True
566,566,a pink birthday cake with candles,[],[],[],True
567,567,a cute gnome with a fish,[],[],[],True
568,568,a person sitting on a bench in a hospital,['sit'],['sit'],['sit'],True
569,569,a woman getting her teeth examined by a dentist,"['get', 'examine']","['get', 'examine']","['get', 'examine']",True
570,570,a person holding a cup of coffee and muffins,['hold'],['hold'],['hold'],True
571,571,a peacock,[],[],[],True
572,572,a woman pouring wine,['pour'],['pour'],['pour'],True
573,573,a woman picking olives from a tree,['pick'],['pick'],['pick'],True
574,574,"a pine, orange and pine fruit",[],[],[],True
575,575,a woman holding a book and looking at a mag glass,"['hold', 'look']","['hold', 'look']","['hold', 'look']",True
576,576,a ship in the ocean,[],[],[],True
577,577,a snow leopard in the grass,[],[],[],True
578,578,a little girl eating food,['eat'],['eat'],['eat'],True
579,579,a woman's eye,[],[],[],True
580,580,kitchen uts and uts,[],[],[],True
581,581,a room filled with boxes,['fill'],['fill'],['fill'],True
582,582,a bride and groom at their wedding in the mountains of the pacific northwest,[],[],[],True
583,583,bees and honeys in a beehive,[],[],[],True
584,584,many cats,[],[],[],True
585,585,a woman pushing a baby in a strolling strolling in the city stock illustration,"['push', 'stroll']","['push', 'stroll']","['push', 'stroll']",True
586,586,a little girl wearing a cowboy outfit and holding a gun,"['wear', 'hold']","['wear', 'hold']","['wear', 'hold']",True
587,587,a woman working on a sewing machine,['work'],['work'],['work'],True
588,588,an astronaut in space,[],[],[],True
589,589,a concrete mixer,[],[],[],True
590,590,bamboo trees in a forest,[],[],[],True
591,591,a pearl in a shell,[],[],[],True
592,592,a little boy skiing down a snowy hill,['ski'],['ski'],['ski'],True
593,593,a group of people having a picnic,['have'],['have'],['have'],True
594,594,an old man and an owl,[],[],[],True
595,595,a woman working on a jewellery,['work'],['work'],['work'],True
596,596,a stack of pancakes with syrup syrup being poured onto,['pour'],['pour'],['pour'],True
597,597,a large metal door,[],[],[],True
598,598,a man playing the bagpipe in a scottish wedding ceremony,['play'],['play'],['play'],True
599,599,a man using a chainsaw,['use'],['use'],['use'],True
600,600,a dam,[],[],[],True
601,601,a woman wearing black tights and high heels,['wear'],['wear'],['wear'],True
602,602,a waterfall in the jungle,[],[],[],True
603,603,the planets in the solar system,[],[],[],True
604,604,a tall ship in the ocean,[],[],[],True
605,605,pink slippers,[],[],[],True
606,606,a group of people playing chess in a pub,['play'],['play'],['play'],True
607,607,a jar of salsa verde with a wooden spoon,[],[],[],True
608,608,a firefighter,[],[],[],True
609,609,a little girl in a gym,[],[],[],True
610,610,a penguin on an iceberg,[],[],[],True
611,611,a police officer,[],[],[],True
612,612,a pile of wooden pallets,[],[],[],True
613,613,a lion,[],[],[],True
614,614,a hand holding a green grenade,['hold'],['hold'],['hold'],True
615,615,two girls riding bikes on a dirt road,['ride'],['ride'],['ride'],True
616,616,a woman riding a bike down a road,['ride'],['ride'],['ride'],True
617,617,roller skates,[],[],[],True
618,618,bees on a honeycomb,[],[],[],True
619,619,a young girl riding a roller coaster at a theme park,['ride'],['ride'],['ride'],True
620,620,a man using a cord cord cord cord cord cord cord cord cord cord cord cord,['use'],['use'],['use'],True
621,621,a woman painting,['paint'],['paint'],['paint'],True
622,622,a black cat sitting on a window sing,['sit'],['sit'],['sit'],True
623,623,"the battle of waterloo, fought by the french army in the battle of waterloo was",['fight'],['fight'],['fight'],True
624,624,a woman carrying a baby in a baby carrier,['carry'],['carry'],['carry'],True
625,625,a man speaking into a megaphone in front of a crowd of people,['speak'],['speak'],['speak'],True
626,626,a mother and her baby in a cribt,[],[],[],True
627,627,nuts in a pan,[],[],[],True
628,628,a tattoo design by person,[],[],[],True
629,629,a dog wearing a white shirt and black sunglasses,['wear'],['wear'],['wear'],True
630,630,a bowl of blueberry cheer cereal,[],[],[],True
631,631,a woman wearing a red blouse and black leggings,['wear'],['wear'],['wear'],True
632,632,a gorilla mascot,[],[],[],True
633,633,a man and a cat on a couch,[],[],[],True
634,634,a man in a suit and tie,['tie'],['tie'],['tie'],True
635,635,two students playing in the schoolyard,['play'],['play'],['play'],True
636,636,a person squeezing lemons into a plate,['squeeze'],['squeeze'],['squeeze'],True
637,637,a pink truck parked in a driveway,['park'],['park'],['park'],True
638,638,a collection of vintage items,[],[],[],True
639,639,a little girl doing a dance move,['do'],['do'],['do'],True
640,640,"a collection of items including a purse, watch, and other items","['include', 'watch']",['include'],"['include', 'watch']",False
641,641,a woman sweeping the floor,['sweep'],['sweep'],['sweep'],True
642,642,a red pear on a spider web,[],[],[],True
643,643,a glass of red wine,[],[],[],True
644,644,a woman riding a horse,['ride'],['ride'],['ride'],True
645,645,a painting studio,[],[],[],True
646,646,a woman holding a spoon with a chocolate dessert in it,['hold'],['hold'],['hold'],True
647,647,a female boxer,[],[],[],True
648,648,a woman playing ro ro ro ro ro ro ro ro ro ro ro ro ro,['play'],['play'],['play'],True
649,649,a pair of golden boots,[],[],[],True
650,650,a patient performing a procedure,['perform'],['perform'],['perform'],True
651,651,a couple eating ice creams in a street in the city,['eat'],['eat'],['eat'],True
652,652,a wine glass with a cork,[],[],[],True
653,653,a prisoner in a jail cell,[],[],[],True
654,654,hot chocolates and candys,[],['candys'],[],False
655,655,a home audio system,[],[],[],True
656,656,a woman sitting on a blanket with a dog and picnic basket,['sit'],['sit'],['sit'],True
657,657,a saint holding a bible,['hold'],['hold'],['hold'],True
658,658,a little girl holding a goldfish,['hold'],['hold'],['hold'],True
659,659,a window box filled with flowers,['fill'],['fill'],['fill'],True
660,660,a blue jewel jewel with a gold chain around it,[],[],[],True
661,661,a pearl in a shell,[],[],[],True
662,662,a man in a fish bowl,[],[],[],True
663,663,an ossovain bird,[],[],[],True
664,664,a cactus,[],[],[],True
665,665,a pair of shoes,[],[],[],True
666,666,a basketball player,[],[],[],True
667,667,a tuna,[],[],[],True
668,668,a pink bunny and two white rabbits on a pink wooden bench in a forest,[],[],[],True
669,669,a man sitting in a chair holding a remote control device,"['sit', 'hold']","['sit', 'hold']","['sit', 'hold']",True
670,670,a bull and a mata mata,[],[],[],True
671,671,two dolls,[],[],[],True
672,672,a pot of soup on a wooden table,[],[],[],True
673,673,pink orchids with a gold background,[],[],[],True
674,674,a group of friends having a picnic in a park,['have'],['have'],['have'],True
675,675,a man in a laundry room,[],[],[],True
676,676,a fat man eating chips,['eat'],['eat'],['eat'],True
677,677,"a blue tang tangin fish in the great barrier reef, belize","['tangin', 'belize']",['belize'],['belize'],False
678,678,a man writing,['write'],['write'],['write'],True
679,679,a baseball player wearing a glove,['wear'],['wear'],['wear'],True
680,680,wooden dows,[],[],[],True
681,681,a pile of papers,[],[],[],True
682,682,a woman cleaning a house,['clean'],['clean'],['clean'],True
683,683,a stack of pancakes with syrup syrup and whipped cream,['whip'],['whip'],['whip'],True
684,684,a woman running on the beach at sunset,['run'],['run'],['run'],True
685,685,a man in a white suit and sunglasses holding a martini while looking at a map,"['hold', 'look']","['hold', 'look']","['hold', 'look']",True
686,686,"a man in a white coat and a red hat, holding a glass of water",['hold'],['hold'],['hold'],True
687,687,a woman doing a handstant yoga pose,"['do', 'pose']","['do', 'pose']","['do', 'pose']",True
688,688,people parading in the sky,['parade'],['parade'],['parade'],True
689,689,a cute little girl with a cupcake,[],[],[],True
690,690,a koalaa koalaa koalaa koalaa koalaa,[],[],[],True
691,691,an elephant playing the violin in the jungle,['play'],['play'],['play'],True
692,692,a man doing a trick on a skateboard,['do'],['do'],['do'],True
693,693,a scientist working in a laboratory,['work'],['work'],['work'],True
694,694,a koloa and a bird,[],[],[],True
695,695,a dog in a street,[],[],[],True
696,696,a woman in a lab,[],[],[],True
697,697,a plane flying over a field,['fly'],['fly'],['fly'],True
698,698,a man and his dog on the rocks at the beach,[],[],[],True
699,699,rafting in the river,['raft'],['raft'],['raft'],True
700,700,a woman standing next to a duck,['stand'],['stand'],['stand'],True
701,701,a woman working out in a gym,['work'],['work'],['work'],True
702,702,a woman applying a red lipstick,['apply'],['apply'],['apply'],True
703,703,a bowl of mas mas mas mas mas mas mas mas mas mas mas mas mas,[],[],[],True
704,704,a woman with long hair and a black and white background,[],[],[],True
705,705,a fighter jet on the runway,[],[],[],True
706,706,a white bird perched on a branch,['perch'],['perch'],['perch'],True
707,707,a surfer carrying his surfboard on the beach,['carry'],['carry'],['carry'],True
708,708,a tractor spraying pest on a field,['spray'],['spray'],['spray'],True
709,709,a truck full of garbage,[],[],[],True
710,710,a bike with a sign on the front,[],[],[],True
711,711,a woman in a bikini and a variety of food,[],[],[],True
712,712,a couple cooking in a kitchen,['cook'],['cook'],['cook'],True
713,713,the interior of a red ferrari,[],[],[],True
714,714,a building,[],[],[],True
715,715,a red and blue hove hove hoveing,['hovee'],['hovee'],['hovee'],True
716,716,a black door in a dark room,[],[],[],True
717,717,a snake,[],[],[],True
718,718,a group of clowns with a rainbow colored balloon,['color'],['color'],[],False
719,719,two girls playing in the surf,['play'],['play'],['play'],True
720,720,a little girl in a pink tutue dress holding a pink ballerina,['hold'],['hold'],['hold'],True
721,721,a whiteboard with a blackboard on it,[],[],[],True
722,722,a beaver,[],[],[],True
723,723,a large auditorium with a large audience,[],[],[],True
724,724,a little girl with an umbrella,[],[],[],True
725,725,a man sitting in a prison cell,['sit'],['sit'],['sit'],True
726,726,a wheat field with the word real,[],[],[],True
727,727,a kids playing in a room,['play'],['play'],['play'],True
728,728,a man in a cowboy hat walking through the desert,['walk'],['walk'],['walk'],True
729,729,a woman doing yoga on a blue inflatable mat,['do'],['do'],['do'],True
730,730,limes,[],[],[],True
731,731,a woman doing yoga,['do'],['do'],['do'],True
732,732,two female scientists working in a laboratory,['work'],['work'],['work'],True
733,733,a printer,[],[],[],True
734,734,a chef slicing a steak on a wooden cutting board,['slice'],['slice'],['slice'],True
735,735,a man shooting a target,['shoot'],['shoot'],['shoot'],True
736,736,a painting of a woman in a green dress,[],[],[],True
737,737,a boat docked in a harbor,['dock'],['dock'],['dock'],True
738,738,the destruction of the building,[],[],[],True
739,739,a woman in a makeup studio,[],[],[],True
740,740,a dog on a ladder,[],[],[],True
741,741,a seashell on the beach,[],[],[],True
742,742,a koalaa koalaa koalaa koalaa koalaa,[],[],[],True
743,743,a white tuxed tuxed tuxed tuxed tuxed tuxed tuxed,"['tuxe', 'tuxe', 'tuxe']",[],[],False
744,744,a flag on a pole in front of a building,[],[],[],True
745,745,a sunflower field with a tree in the background,[],[],[],True
746,746,a cello player,[],[],[],True
747,747,two people in a raft on the river,[],[],[],True
748,748,a woman in a field of dandels,[],[],[],True
749,749,a vase of flowers,[],[],[],True
750,750,people sorting garbage in the mountains,['sort'],['sort'],['sort'],True
751,751,a group of people with luggage,[],[],[],True
752,752,a scientist working in a laboratory,['work'],['work'],['work'],True
753,753,tools in a tool box,[],[],[],True
754,754,a bunch of grapes on a vine,[],[],[],True
755,755,a dog in a corn field,[],[],[],True
756,756,a smiling woman holding a coffee cup,"['smile', 'hold']","['smile', 'hold']","['smile', 'hold']",True
757,757,a woman sitting on a pile of pillows,['sit'],['sit'],['sit'],True
758,758,a father holding his baby,['hold'],['hold'],['hold'],True
759,759,a man flying in a sky,['fly'],['fly'],['fly'],True
760,760,a blender on a kitchen counter,[],[],[],True
761,761,a woman bowling in a bowling alley,[],['bowl'],['bowl'],False
762,762,a blue and white tea cup and saucer,[],[],[],True
763,763,a large oak tree in a field,[],[],[],True
764,764,a woman holding a prescription bottle in a pharmacy pharmacy illustration,['hold'],['hold'],['hold'],True
765,765,a tall ship in the harbor,[],[],[],True
766,766,a bald eagle,[],[],[],True
767,767,a man in a wheelchair,[],[],[],True
768,768,a scientist working in a laboratory,['work'],['work'],['work'],True
769,769,a man in a hard hat and glasses holding a blueprint,['hold'],['hold'],['hold'],True
770,770,a man in a field,[],[],[],True
771,771,a little girl holding a yellow duck,['hold'],['hold'],['hold'],True
772,772,a bowl of mas mas mas mas mas mas mas mas mas mas mas mas mas,[],[],[],True
773,773,a man in a bathroom,[],[],[],True
774,774,a little girl wearing a pink tutue,['wear'],['wear'],['wear'],True
775,775,a cat drinking tea,['drink'],['drink'],['drink'],True
776,776,a man in a jail,[],[],[],True
777,777,a young girl playing the violin,['play'],['play'],['play'],True
778,778,a young man on a skateboard,[],[],[],True
779,779,a barbecue grill with steaks on it,[],[],[],True
780,780,a cute pig in a pink tutu,[],[],[],True
781,781,a young boy standing next to a tree in the park,['stand'],['stand'],['stand'],True
782,782,a man holding a plate of food,['hold'],['hold'],['hold'],True
783,783,a young man eating a burger in a fast food restaurant,['eat'],['eat'],['eat'],True
784,784,a pot of chili soup,[],[],[],True
785,785,a vintage poster,[],[],[],True
786,786,a family on the beach,[],[],[],True
787,787,a pig on a grill,[],[],[],True
788,788,a handful of sunflower seeds,[],[],[],True
789,789,a crowd of people in a field,[],[],[],True
790,790,a woman sitting on a couch wearing a white shirt and blue jeans,"['sit', 'wear']","['sit', 'wear']","['sit', 'wear']",True
791,791,copper wire,[],[],[],True
792,792,a man in a kilt,[],[],[],True
793,793,a man taking a photo,['take'],['take'],['take'],True
794,794,a man getting his teeth examined by a woman,"['get', 'examine']","['get', 'examine']","['get', 'examine']",True
795,795,sunflowers,[],[],[],True
796,796,a man chopping a tree stump,['chop'],['chop'],['chop'],True
797,797,a man holding a turkey in a kitchen,['hold'],['hold'],['hold'],True
798,798,a vase of red tuliplips,[],[],[],True
799,799,limes and limes,[],[],[],True
800,800,bowling alley sign on a wooden fence,['bowl'],['bowl'],[],False
801,801,a chef putting a piece of cake into a oven,['put'],['put'],['put'],True
802,802,tools and tools,[],[],[],True
803,803,a woman in a field of corn,[],[],[],True
804,804,a skull in a cage,[],[],[],True
805,805,people sitting at a patio table,['sit'],['sit'],['sit'],True
806,806,a boat in the water,[],[],[],True
807,807,various items on a table,[],[],[],True
808,808,a woman showing a thumbs up in front of a wall of jewelry,['show'],['show'],['show'],True
809,809,a group of children walking down a cobb road,['walk'],['walk'],['walk'],True
810,810,a red bird perched on a tree branch,['perch'],['perch'],['perch'],True
811,811,a man in a turbal,[],[],[],True
812,812,a fork and knife,[],[],[],True
813,813,the white house,[],[],[],True
814,814,a man holding a fishing net,['hold'],['hold'],['hold'],True
815,815,a worker working on a coil,['work'],['work'],['work'],True
816,816,a crowd of people in a large auditorium,[],[],[],True
817,817,a nurse and a patient,[],[],[],True
818,818,ducks in a pond,[],[],[],True
819,819,bells hanging from a tree,['hang'],['hang'],['hang'],True
820,820,a bouquet of pink and white tulips,[],[],[],True
821,821,potatoes and potatoes,[],[],[],True
822,822,a man and woman at an airport,[],[],[],True
823,823,a white bird perched on a wooden fence,['perch'],['perch'],['perch'],True
824,824,a kitchen sink,[],[],[],True
825,825,a woman painting on the beach,['paint'],['paint'],['paint'],True
826,826,a cannon being fired by a man,['fire'],['fire'],['fire'],True
827,827,a bowling ball hitting a bowling ball,['hit'],['hit'],['hit'],True
828,828,a woman sitting among a pile of garbage,['sit'],['sit'],['sit'],True
829,829,three children playing in a field,['play'],['play'],['play'],True
830,830,a pile of rubble,[],[],[],True
831,831,a bunch of bells hanging from a ceiling,['hang'],['hang'],['hang'],True
832,832,a man holding a bottle of beer and a gun,['hold'],['hold'],['hold'],True
833,833,a rock,[],[],[],True
834,834,a field of dandels,[],[],[],True
835,835,a bowl of pasta with a spoon full of pasta,[],[],[],True
836,836,a young girl in front of a graffiti wall,[],[],[],True
837,837,a man working on a machine,['work'],['work'],['work'],True
838,838,a couple at a bar,[],[],[],True
839,839,people sitting on rocks at sunset on the shore of lake superior,['sit'],['sit'],['sit'],True
840,840,a plate of pasta with a fork,[],[],[],True
841,841,a man playing tennis,['play'],['play'],['play'],True
842,842,many beetles in a pile of brown rice,[],[],[],True
843,843,a lime on a white plate,[],[],[],True
844,844,two men playing darts in a room,['play'],['play'],['play'],True
845,845,a man looking at a shirt,['look'],['look'],['look'],True
846,846,a man playing video games in a casino,['play'],['play'],['play'],True
847,847,a loaf baking in the oven,['bake'],['bake'],[],False
848,848,a pearl bracelet,[],[],[],True
849,849,two people flying on a beach,['fly'],['fly'],['fly'],True
850,850,a bowl of spaghetti with tomato sauce,[],[],[],True
851,851,a young man wearing a black beret,['wear'],['wear'],['wear'],True
852,852,a smiling woman holding a small yellow chick,"['smile', 'hold']","['smile', 'hold']","['smile', 'hold']",True
853,853,a woman with a tree in the background,[],[],[],True
854,854,a man with a mustache and a beard holding a bottle of alcohol,['hold'],['hold'],['hold'],True
855,855,a kitchen in a home,[],[],[],True
856,856,a woman wearing red slippers with pomp,['wear'],['wear'],['wear'],True
857,857,a surfer doing a handstant on a surfboard,['do'],['do'],['do'],True
858,858,a theatre,[],[],[],True
859,859,a family enjoying a meal together,['enjoy'],['enjoy'],['enjoy'],True
860,860,a lion on a rock,[],[],[],True
861,861,a scientist doing a chemical experiment,['do'],['do'],['do'],True
862,862,a woman working in a laboratory,['work'],['work'],['work'],True
863,863,a person doing a trick on a bike,['do'],['do'],['do'],True
864,864,a bed in a room at the person's house in jaipur,[],[],[],True
865,865,a bowl of chili soup,[],[],[],True
866,866,a bar in a restaurant,[],[],[],True
867,867,a game room,[],[],[],True
868,868,a space shuttle on a runway,[],[],[],True
869,869,a couple enjoying a romantic dinner in a restaurant,['enjoy'],['enjoy'],['enjoy'],True
870,870,a woman's feet wearing pink socks,['wear'],['wear'],['wear'],True
871,871,the ship's design,[],[],[],True
872,872,a boy in a forest,[],[],[],True
873,873,a woman in a yellow dress and hat walking through a field of corn,['walk'],['walk'],['walk'],True
874,874,a woman's lips with a pair of scissors,[],[],[],True
875,875,a seashell on a beach,[],[],[],True
876,876,a woman sitting on the beach,['sit'],['sit'],['sit'],True
877,877,a bird perched on a tree branch,['perch'],['perch'],['perch'],True
878,878,a chef cutting meat,['cut'],['cut'],['cut'],True
879,879,a vintage car,[],[],[],True
880,880,a mermaid mermaid mermaid mermaid mermaid mermaid mermaid mermaid mermaid mermaid mermaid mermaid mermaid mermaid mermaid,['mermaid'],[],[],False
881,881,a man fishing on the beach,['fish'],['fish'],['fish'],True
882,882,a shovel and shovel in the dirt,[],[],['shovel'],False
883,883,red tulips,[],[],[],True
884,884,the front of the building,[],[],[],True
885,885,a woman applying her makeup,['apply'],['apply'],['apply'],True
886,886,a restaurant sign in a city,[],[],[],True
887,887,a woman laying on a mattress,['lay'],['lay'],['lay'],True
888,888,a man shoveling a field,['shovel'],['shovel'],['shovel'],True
889,889,a man in a blue suit sitting in a red chair,['sit'],['sit'],['sit'],True
890,890,a tree branch with a bird on it,[],[],[],True
891,891,a tree stump with a green leaf in the center,[],[],[],True
892,892,a cute bunny,[],[],[],True
893,893,the eiffiffiffiffiffiffiffiffiffiffiffiffiffiff,[],[],[],True
894,894,a workbench with tools,[],[],[],True
895,895,cupcakes and strawberries,[],[],[],True
896,896,a flock of birds in a field,[],[],[],True
897,897,a woman hanging a shirt on a rack,['hang'],['hang'],['hang'],True
898,898,a large ship in the water,[],[],[],True
899,899,a couple walking through a pumpkin patch,['walk'],['walk'],['walk'],True
900,900,"a cobb street in downtown, seattle",[],[],[],True
901,901,a man standing in front of a blackboard with graffiti written on it,"['stand', 'write']","['stand', 'write']","['stand', 'write']",True
902,902,a beaver in a beaver pond,[],[],[],True
903,903,a bartender at a bar,[],[],[],True
904,904,a plane spraying pest on a field,['spray'],['spray'],['spray'],True
905,905,a man in a white turbal,[],[],[],True
906,906,pigs on a grill,[],[],[],True
907,907,a doctor and a patient,[],[],[],True
908,908,a chef preparing food,['prepare'],['prepare'],['prepare'],True
909,909,a man holding a large sawtoothing tool,['hold'],"['hold', 'sawtoothe']","['hold', 'sawtoothe']",False
910,910,copper moscow moscow mugs,[],['mug'],['mug'],False
911,911,kids playing in the ocean,['play'],['play'],['play'],True
912,912,a man in a hard hat and overalls holding a piece of paper in front,['hold'],['hold'],['hold'],True
913,913,an airplane taking off from an airport,['take'],['take'],['take'],True
914,914,a soldier with a gun,[],[],[],True
915,915,cactus plants,[],[],[],True
916,916,shoes and debris,[],[],[],True
917,917,a cat in a tree,[],[],[],True
918,918,a piece of pie on a plate,[],[],[],True
919,919,a snake,[],[],[],True
920,920,a group of people eating at a picnic table,['eat'],['eat'],['eat'],True
921,921,a woman holding a rifle in a field,['hold'],['hold'],['hold'],True
922,922,construction workers,[],[],[],True
923,923,a woman wearing a variety of rings,['wear'],['wear'],['wear'],True
924,924,a group of people with luggage bags,[],[],[],True
925,925,a snake and a man,[],[],[],True
926,926,a variety of chili soups,[],[],[],True
927,927,a tea cup on a table in front of a house,[],[],[],True
928,928,a man preparing a turkey for thanksgiving,"['prepare', 'thanksgive']",['prepare'],"['prepare', 'thanksgive']",False
929,929,a woman wearing a yellow beaded bracelet,"['wear', 'bead']",['wear'],['wear'],False
930,930,a boy and a horse,[],[],[],True
931,931,a woman's feet wearing white sneakers and a cup of coffee,['wear'],['wear'],['wear'],True
932,932,a man in a tuk,[],[],[],True
933,933,a woman with a nose piercing,['pierce'],['pierce'],['pierce'],True
934,934,a hand giving a thumbs,['give'],['give'],['give'],True
935,935,a man in a kilt in the scottish highlands,['highland'],[],[],False
936,936,a woman carrying a baby,['carry'],['carry'],['carry'],True
937,937,freshly baked bread rolls in a baking pan,['bake'],['roll'],['bake'],False
938,938,a pile of penn penn,[],[],[],True
939,939,the arcade arcade in the new york museum,[],[],[],True
940,940,a woman in a blue hat and white dress,[],[],[],True
941,941,a woman taking a bath,['take'],['take'],['take'],True
942,942,a teapot in a garden,[],[],[],True
943,943,a silver teapot,[],[],[],True
944,944,the new bar at the new disney springs resort,['resort'],[],['resort'],False
945,945,the crew of the ship naiwa,[],[],[],True
946,946,a man walking with a baby in a strolling stroll on the beach,"['walk', 'stroll']","['walk', 'stroll']","['walk', 'stroll']",True
947,947,a scientist in a lab,[],[],[],True
948,948,binoculars in the grass,[],[],[],True
949,949,old postcards,[],[],[],True
950,950,a steering on a boat,[],[],[],True
951,951,a man in a robe standing in front of a fireplace,['stand'],['stand'],['stand'],True
952,952,a robot with a dove in its hand,[],[],[],True
953,953,a bird,[],[],[],True
954,954,a mother and her baby in a bath,[],[],[],True
955,955,a chocolate pudding with strawberries and a spoon of strawberries,[],[],[],True
956,956,a man sitting on a toilet in a bathroom,['sit'],['sit'],['sit'],True
957,957,a cash machine with money in it,[],[],[],True
958,958,a cowboy lassing a horse,['lasse'],['lasse'],['lasse'],True
959,959,a pair of hiking boots,[],[],[],True
960,960,a ball of yarn,[],[],[],True
961,961,a princess in a pink dress,[],[],[],True
962,962,a container ship,[],[],[],True
963,963,friends enjoying a beer at a pub,['enjoy'],['enjoy'],['enjoy'],True
964,964,a woman holding a glass of orange juice,['hold'],['hold'],['hold'],True
965,965,a strawberry on a pink background,[],[],[],True
966,966,a woman holding a pink cocktail,['hold'],['hold'],['hold'],True
967,967,a man working in a garden,['work'],['work'],['work'],True
968,968,a group of dancers in a field,[],[],[],True
969,969,colorful candy candys,[],[],[],True
970,970,a woman walking on a beach,['walk'],['walk'],['walk'],True
971,971,a bronze sculpture of a woman with afro hairs,[],[],[],True
972,972,squirrels,['squirrel'],[],[],False
973,973,a group of sea lions in a zoo,[],[],[],True
974,974,pears and apples,[],[],[],True
975,975,a man in a suit smoking a cigarette,['smoke'],['smoke'],['smoke'],True
976,976,a man chopping a tree,['chop'],['chop'],['chop'],True
977,977,a man chopping a fire in the woods,['chop'],['chop'],['chop'],True
978,978,men drinking champagne,['drink'],['drink'],['drink'],True
979,979,a man with a mustache and a hat,[],[],[],True
980,980,a table with a variety of dishes,[],[],[],True
981,981,a person in a red cloak with a white beard and a long white beard,[],[],[],True
982,982,a man with a mustache and a bike,[],[],[],True
983,983,a man walking down the street,['walk'],['walk'],['walk'],True
984,984,a dog in a kitchen,[],[],[],True
985,985,a woman in a restaurant menu design,[],[],[],True
986,986,a woman holding a pile of yarn,['hold'],['hold'],['hold'],True
987,987,a woman riding a horse in a field,['ride'],['ride'],['ride'],True
988,988,a container ship and a ship in the ocean,[],[],[],True
989,989,a man holding a carrot and a carrot,['hold'],['hold'],['hold'],True
990,990,a group of people enjoying a meal,['enjoy'],['enjoy'],['enjoy'],True
991,991,a cute bunny holding a carrot,['hold'],['hold'],['hold'],True
992,992,a statue of a young boy playing a flute,['play'],['play'],['play'],True
993,993,coffee and appliances,[],[],[],True
994,994,a red planet,[],[],[],True
995,995,a man drinking a beer,['drink'],['drink'],['drink'],True
