,generated_caption,cap,verbs,objs,n_objs
292,"A cushion remembers the conversations it has overheard, each one a different whisper.","A cushion remembers the conversations it has overheard, each one a different whisper.","{'overhear', 'remember'}","{'overhear', 'remember'}",2
293,"A group of mirrors reflect on the faces they've seen, each reflection a story.","A group of mirrors reflect on the faces they've seen, each reflection a story.","{'see', 'reflect'}","{'see', 'reflect'}",2
294,"A vase holds flowers, each bloom a character in its own right.","A vase holds flowers, each bloom a character in its own right.",{'hold'},{'hold'},1
295,"A group of wallpapers recount the changes they've seen, from renovations to revolutions.","A group of wallpapers recount the changes they've seen, from renovations to revolutions.","{'see', 'recount'}","{'see', 'recount'}",2
296,"A doorbell rings in tales of arrivals and departures, each chime a beginning or an end.","A doorbell rings in tales of arrivals and departures, each chime a beginning or an end.",{'ring'},{'ring'},1
297,"A group of chairs arrange themselves for a story circle, each seat a different tale.","A group of chairs arrange themselves for a story circle, each seat a different tale.",{'arrange'},{'arrange'},1
298,"A mailbox waits eagerly for letters, each delivery a window into another world.","A mailbox waits eagerly for letters, each delivery a window into another world.",{'wait'},{'wait'},1
299,"A cat leaps onto a sunny window sill, eyeing a bird outside.","A cat leaps onto a sunny window sill, eyeing a bird outside.","{'leap', 'eye'}","{'leap', 'eye'}",2
300,A toddler giggles while chasing bubbles in a park.,A toddler giggles while chasing bubbles in a park.,"{'chase', 'giggle'}","{'giggle', 'chase'}",2
301,A chef skillfully flips a pancake in a bustling kitchen.,A chef skillfully flips a pancake in a bustling kitchen.,"{'bustle', 'flip'}","{'bustle', 'flip'}",2
302,A street performer juggles fire torches at a night market.,A street performer juggles fire torches at a night market.,{'juggle'},{'juggle'},1
303,An elderly man feeds pigeons in a serene city square.,An elderly man feeds pigeons in a serene city square.,{'feed'},{'feed'},1
304,A couple dances under the stars at a beach bonfire.,A couple dances under the stars at a beach bonfire.,{'dance'},{'dance'},1
305,A photographer captures a stunning sunset over the ocean.,A photographer captures a stunning sunset over the ocean.,{'capture'},{'capture'},1
306,A painter adds the finishing touches to a mural of a vibrant cityscape.,A painter adds the finishing touches to a mural of a vibrant cityscape.,"{'finish', 'add'}","{'finish', 'add'}",2
307,A jogger sprints along a misty forest trail at dawn.,A jogger sprints along a misty forest trail at dawn.,{'sprint'},{'sprint'},1
308,A barista crafts a perfect latte art in a cozy cafe.,A barista crafts a perfect latte art in a cozy cafe.,{'craft'},{'craft'},1
309,A group of hikers reaches the summit of a snow-covered mountain.,A group of hikers reaches the summit of a snow-covered mountain.,"{'reach', 'cover'}","{'reach', 'cover'}",2
310,A dog splashes joyfully in a lake during a summer day.,A dog splashes joyfully in a lake during a summer day.,{'splash'},{'splash'},1
311,A young woman meditates peacefully in a blooming garden.,A young woman meditates peacefully in a blooming garden.,"{'bloom', 'meditate'}","{'bloom', 'meditate'}",2
312,A fisherman casts his line into the shimmering river at dusk.,A fisherman casts his line into the shimmering river at dusk.,"{'shimmer', 'cast'}","{'shimmer', 'cast'}",2
313,Children laugh as they build a sandcastle on the beach.,Children laugh as they build a sandcastle on the beach.,"{'laugh', 'build'}","{'laugh', 'build'}",2
314,A cyclist races down a hill lined with autumn trees.,A cyclist races down a hill lined with autumn trees.,"{'line', 'race'}","{'line', 'race'}",2
315,A bride throws her bouquet to a crowd of smiling friends.,A bride throws her bouquet to a crowd of smiling friends.,"{'throw', 'smile'}","{'throw', 'smile'}",2
316,A skateboarder performs a trick in an urban skate park.,A skateboarder performs a trick in an urban skate park.,{'perform'},{'perform'},1
317,A teacher reads a story to captivated children in a library.,A teacher reads a story to captivated children in a library.,"{'read', 'captivate'}","{'read', 'captivate'}",2
318,A farmer harvests apples in a lush orchard.,A farmer harvests apples in a lush orchard.,{'harvest'},{'harvest'},1
319,A jazz band plays a lively tune in a crowded club.,A jazz band plays a lively tune in a crowded club.,{'play'},{'play'},1
320,A kite surfer rides the waves on a windy day.,A kite surfer rides the waves on a windy day.,{'ride'},{'ride'},1
321,A potter shapes clay into a beautiful vase on a spinning wheel.,A potter shapes clay into a beautiful vase on a spinning wheel.,"{'spin', 'shape'}","{'spin', 'shape'}",2
322,"A grandmother knits a scarf, surrounded by her grandchildren.","A grandmother knits a scarf, surrounded by her grandchildren.","{'surround', 'knit'}","{'surround', 'knit'}",2
323,A firework explodes in a burst of color over a city skyline.,A firework explodes in a burst of color over a city skyline.,{'explode'},{'explode'},1
324,A scientist examines a fossil in a well-equipped laboratory.,A scientist examines a fossil in a well-equipped laboratory.,"{'examine', 'equip'}","{'examine', 'equip'}",2
325,An artist sketches a portrait in a bustling public square.,An artist sketches a portrait in a bustling public square.,"{'bustle', 'sketch'}","{'bustle', 'sketch'}",2
326,"A mechanic repairs an old, classic car in a garage.","A mechanic repairs an old, classic car in a garage.",{'repair'},{'repair'},1
327,A child leaps into a pile of autumn leaves.,A child leaps into a pile of autumn leaves.,{'leap'},{'leap'},1
328,"A dancer rehearses in a studio, reflected in a wall of mirrors.","A dancer rehearses in a studio, reflected in a wall of mirrors.","{'rehearse', 'reflect'}","{'rehearse', 'reflect'}",2
329,A baker pulls freshly baked bread from a stone oven.,A baker pulls freshly baked bread from a stone oven.,"{'pull', 'bake'}","{'pull', 'bake'}",2
330,A birdwatcher spots a rare species through his binoculars.,A birdwatcher spots a rare species through his binoculars.,{'spot'},{'spot'},1
331,A horse and rider jump over a hurdle in an equestrian competition.,A horse and rider jump over a hurdle in an equestrian competition.,{'jump'},{'jump'},1
332,A beekeeper checks hives in a field of wildflowers.,A beekeeper checks hives in a field of wildflowers.,{'check'},{'check'},1
333,"A child plays a violin in a quiet room, filling the space with music.","A child plays a violin in a quiet room, filling the space with music.","{'fill', 'play'}","{'fill', 'play'}",2
334,A group of friends toast marshmallows over a campfire.,A group of friends toast marshmallows over a campfire.,{'toast'},{'toast'},1
335,An architect examines blueprints at a construction site.,An architect examines blueprints at a construction site.,{'examine'},{'examine'},1
336,A pilot steers a hot air balloon over a patchwork of fields.,A pilot steers a hot air balloon over a patchwork of fields.,{'steer'},{'steer'},1
337,A librarian arranges books on a shelf in a sunlit room.,A librarian arranges books on a shelf in a sunlit room.,{'arrange'},{'arrange'},1
338,"A couple kayaks down a river, surrounded by autumn foliage.","A couple kayaks down a river, surrounded by autumn foliage.","{'surround', 'kayak'}","{'surround', 'kayak'}",2
339,A street artist spray paints a vibrant mural on an urban wall.,A street artist spray paints a vibrant mural on an urban wall.,{'paint'},{'paint'},1
340,"A sommelier tastes wine in a cellar, surrounded by oak barrels.","A sommelier tastes wine in a cellar, surrounded by oak barrels.","{'surround', 'taste'}","{'surround', 'taste'}",2
341,A gardener prunes roses in a beautifully maintained garden.,A gardener prunes roses in a beautifully maintained garden.,"{'prune', 'maintain'}","{'prune', 'maintain'}",2
342,A yogi stretches into a pose on a cliff overlooking the sea.,A yogi stretches into a pose on a cliff overlooking the sea.,"{'stretch', 'overlook'}","{'stretch', 'overlook'}",2
343,A child discovers a seashell on a sandy beach.,A child discovers a seashell on a sandy beach.,{'discover'},{'discover'},1
344,A scuba diver explores a coral reef teeming with colorful fish.,A scuba diver explores a coral reef teeming with colorful fish.,"{'explore', 'teem'}","{'explore', 'teem'}",2
345,An ice skater glides across a frozen pond under twinkling lights.,An ice skater glides across a frozen pond under twinkling lights.,"{'glide', 'twinkle'}","{'glide', 'twinkle'}",2
346,A chef decorates a cake with intricate icing designs.,A chef decorates a cake with intricate icing designs.,{'decorate'},{'decorate'},1
347,"A runner crosses the finish line at a marathon, exhausted but triumphant.","A runner crosses the finish line at a marathon, exhausted but triumphant.",{'cross'},{'cross'},1
348,A fisherman mends his nets by the seaside at sunset.,A fisherman mends his nets by the seaside at sunset.,{'mend'},{'mend'},1
349,A mother reads a bedtime story to her child in a dimly lit room.,A mother reads a bedtime story to her child in a dimly lit room.,"{'read', 'light'}","{'read', 'light'}",2
350,A group of friends play cards around a table on a rainy day.,A group of friends play cards around a table on a rainy day.,{'play'},{'play'},1
351,A blacksmith forges a sword in a fiery workshop.,A blacksmith forges a sword in a fiery workshop.,{'forge'},{'forge'},1
352,"A student studies late into the night, surrounded by books and papers.","A student studies late into the night, surrounded by books and papers.","{'surround', 'study'}","{'surround', 'study'}",2
353,A violinist tunes her instrument before a concert.,A violinist tunes her instrument before a concert.,{'tune'},{'tune'},1
354,"A couple renovates an old house, painting walls and laying tiles.","A couple renovates an old house, painting walls and laying tiles.","{'paint', 'renovate', 'lay'}","{'paint', 'renovate', 'lay'}",3
355,"A paraglider soars above the mountains, enjoying the panoramic views.","A paraglider soars above the mountains, enjoying the panoramic views.","{'enjoy', 'soar'}","{'enjoy', 'soar'}",2
356,A chef tosses a flaming wok in a steamy kitchen.,A chef tosses a flaming wok in a steamy kitchen.,"{'flame', 'toss'}","{'flame', 'toss'}",2
357,A florist arranges a bouquet of vibrant flowers.,A florist arranges a bouquet of vibrant flowers.,{'arrange'},{'arrange'},1
358,A programmer debugs code on a computer in a tech-filled office.,A programmer debugs code on a computer in a tech-filled office.,"{'fill', 'debug'}","{'debug', 'fill'}",2
359,A makeup artist applies makeup to a model before a photoshoot.,A makeup artist applies makeup to a model before a photoshoot.,{'apply'},{'apply'},1
360,A mountain biker dodges trees on a challenging forest trail.,A mountain biker dodges trees on a challenging forest trail.,"{'challenge', 'dodge'}","{'challenge', 'dodge'}",2
361,A teacher demonstrates a science experiment to eager students.,A teacher demonstrates a science experiment to eager students.,{'demonstrate'},{'demonstrate'},1
362,A sculptor chisels details into a marble statue.,A sculptor chisels details into a marble statue.,{'chisel'},{'chisel'},1
363,A waiter serves a steaming dish to a couple at a rooftop restaurant.,A waiter serves a steaming dish to a couple at a rooftop restaurant.,"{'steam', 'serve'}","{'steam', 'serve'}",2
364,A potter's hands mold wet clay on a spinning wheel.,A potter's hands mold wet clay on a spinning wheel.,"{'spin', 'mold'}","{'spin', 'mold'}",2
365,A saxophonist plays a soulful tune in a smoky jazz club.,A saxophonist plays a soulful tune in a smoky jazz club.,{'play'},{'play'},1
366,A surfer catches a large wave at dawn.,A surfer catches a large wave at dawn.,{'catch'},{'catch'},1
367,A nurse administers a vaccine to a patient in a clinic.,A nurse administers a vaccine to a patient in a clinic.,{'administer'},{'administer'},1
368,A street vendor sells colorful balloons at a city festival.,A street vendor sells colorful balloons at a city festival.,{'sell'},{'sell'},1
369,A paleontologist brushes dirt from a dinosaur bone at a dig site.,A paleontologist brushes dirt from a dinosaur bone at a dig site.,{'brush'},{'brush'},1
370,A child and her grandfather fly a kite on a windy hill.,A child and her grandfather fly a kite on a windy hill.,{'fly'},{'fly'},1
371,A couple ice-skates hand in hand on a crowded rink.,A couple ice-skates hand in hand on a crowded rink.,"{'crowd', 'skate'}","{'crowd', 'skate'}",2
372,A chef slices fresh sushi in a modern restaurant.,A chef slices fresh sushi in a modern restaurant.,{'slice'},{'slice'},1
373,A young man studies a map before backpacking through a dense forest.,A young man studies a map before backpacking through a dense forest.,"{'backpack', 'study'}","{'backpack', 'study'}",2
374,A photographer adjusts her camera to capture a waterfall.,A photographer adjusts her camera to capture a waterfall.,"{'capture', 'adjust'}","{'capture', 'adjust'}",2
375,A carpenter sands a handmade wooden table in his workshop.,A carpenter sands a handmade wooden table in his workshop.,{'sand'},{'sand'},1
376,A family sets up a tent at a lakeside campsite.,A family sets up a tent at a lakeside campsite.,{'set'},{'set'},1
377,A fashion designer sketches a new dress in her studio.,A fashion designer sketches a new dress in her studio.,{'sketch'},{'sketch'},1
378,A diver examines a shipwreck in the deep blue sea.,A diver examines a shipwreck in the deep blue sea.,{'examine'},{'examine'},1
379,A musician tunes his guitar before a live performance.,A musician tunes his guitar before a live performance.,{'tune'},{'tune'},1
380,A girl scouts sells cookies outside a bustling grocery store.,A girl scouts sells cookies outside a bustling grocery store.,"{'bustle', 'sell'}","{'bustle', 'sell'}",2
381,A ballerina practices her moves in a dance studio with large windows.,A ballerina practices her moves in a dance studio with large windows.,{'practice'},{'practice'},1
382,A couple arranges furniture in their new apartment.,A couple arranges furniture in their new apartment.,{'arrange'},{'arrange'},1
383,A hiker observes a map while trekking in a national park.,A hiker observes a map while trekking in a national park.,"{'observe', 'trek'}","{'observe', 'trek'}",2
384,A drummer plays energetically during a concert.,A drummer plays energetically during a concert.,{'play'},{'play'},1
385,A magician performs tricks for a group of delighted children.,A magician performs tricks for a group of delighted children.,{'perform'},{'perform'},1
386,A student builds a robot for a school science fair.,A student builds a robot for a school science fair.,{'build'},{'build'},1
387,A climber ascends a steep rock face equipped with ropes and gear.,A climber ascends a steep rock face equipped with ropes and gear.,"{'equip', 'ascend'}","{'equip', 'ascend'}",2
388,A chef flips a crepe expertly in a small Parisian cafe.,A chef flips a crepe expertly in a small Parisian cafe.,{'flip'},{'flip'},1
389,A teacher helps a student with a difficult math problem.,A teacher helps a student with a difficult math problem.,{'help'},{'help'},1
390,A florist ties a ribbon around a freshly made wreath.,A florist ties a ribbon around a freshly made wreath.,"{'make', 'tie'}","{'make', 'tie'}",2
391,A golfer takes a swing on a sunny day at a lush golf course.,A golfer takes a swing on a sunny day at a lush golf course.,{'take'},{'take'},1
392,A mother and daughter plant flowers in their backyard.,A mother and daughter plant flowers in their backyard.,{'plant'},{'plant'},1
393,A fisherman casts a net into the sea at sunrise.,A fisherman casts a net into the sea at sunrise.,{'cast'},{'cast'},1
394,A couple dances salsa in a crowded dance hall.,A couple dances salsa in a crowded dance hall.,{'dance'},{'dance'},1
395,A skateboarder lands a complex trick in a city skate park.,A skateboarder lands a complex trick in a city skate park.,{'land'},{'land'},1
396,A jeweler inspects a gemstone under a magnifying glass.,A jeweler inspects a gemstone under a magnifying glass.,{'inspect'},{'inspect'},1
397,A chef carves a roast for a festive dinner.,A chef carves a roast for a festive dinner.,{'carve'},{'carve'},1
398,A child decorates a gingerbread house with colorful candies.,A child decorates a gingerbread house with colorful candies.,{'decorate'},{'decorate'},1
399,A cyclist competes in a race through a mountainous landscape.,A cyclist competes in a race through a mountainous landscape.,{'compete'},{'compete'},1
400,A seamstress sews a costume for a theatrical performance.,A seamstress sews a costume for a theatrical performance.,{'sew'},{'sew'},1
401,A couple hangs lights on their home in preparation for a holiday.,A couple hangs lights on their home in preparation for a holiday.,{'hang'},{'hang'},1
402,A painter mixes colors on a palette under the afternoon sun.,A painter mixes colors on a palette under the afternoon sun.,{'mix'},{'mix'},1
403,"A scientist peers into a microscope, studying cells.","A scientist peers into a microscope, studying cells.","{'study', 'peer'}","{'study', 'peer'}",2
404,"A dancer practices a routine, leaping gracefully across the floor.","A dancer practices a routine, leaping gracefully across the floor.","{'practice', 'leap'}","{'practice', 'leap'}",2
405,"A barista steams milk for a cappuccino, filling the air with aroma.","A barista steams milk for a cappuccino, filling the air with aroma.","{'steam', 'fill'}","{'steam', 'fill'}",2
406,A fisherman untangles his fishing line by the riverbank.,A fisherman untangles his fishing line by the riverbank.,{'untangle'},{'untangle'},1
407,A couple takes a romantic walk through a snowy park.,A couple takes a romantic walk through a snowy park.,{'take'},{'take'},1
408,"A violinist practices scales in a quiet, sunlit room.","A violinist practices scales in a quiet, sunlit room.",{'practice'},{'practice'},1
409,A mechanic tunes a vintage motorcycle in a cluttered garage.,A mechanic tunes a vintage motorcycle in a cluttered garage.,{'tune'},{'tune'},1
410,A group of children play hide and seek in a forest.,A group of children play hide and seek in a forest.,"{'seek', 'hide', 'play'}","{'seek', 'hide', 'play'}",3
411,A baker kneads dough for bread early in the morning.,A baker kneads dough for bread early in the morning.,{'knead'},{'knead'},1
412,A climber secures her harness before ascending a cliff.,A climber secures her harness before ascending a cliff.,"{'secure', 'ascend'}","{'secure', 'ascend'}",2
413,A photographer adjusts his lens to capture a bird in flight.,A photographer adjusts his lens to capture a bird in flight.,"{'capture', 'adjust'}","{'capture', 'adjust'}",2
414,A student draws a diagram on a blackboard during a presentation.,A student draws a diagram on a blackboard during a presentation.,{'draw'},{'draw'},1
415,"A teacher conducts a choir in a bright, echoing hall.","A teacher conducts a choir in a bright, echoing hall.","{'conduct', 'echo'}","{'conduct', 'echo'}",2
416,"A writer types a novel in a quiet, book-filled study.","A writer types a novel in a quiet, book-filled study.","{'type', 'fill'}","{'type', 'fill'}",2
417,A florist clips stems before arranging them in a vase.,A florist clips stems before arranging them in a vase.,"{'clip', 'arrange'}","{'clip', 'arrange'}",2
418,A gymnast stretches before a competition.,A gymnast stretches before a competition.,{'stretch'},{'stretch'},1
419,A baker decorates cupcakes with vibrant icing for a party.,A baker decorates cupcakes with vibrant icing for a party.,{'decorate'},{'decorate'},1
420,A child marvels at starfish during a low tide at the beach.,A child marvels at starfish during a low tide at the beach.,{'marvel'},{'marvel'},1
421,A gardener plants seedlings in a freshly tilled garden.,A gardener plants seedlings in a freshly tilled garden.,"{'plant', 'till'}","{'plant', 'till'}",2
422,A painter creates an abstract piece in her airy studio.,A painter creates an abstract piece in her airy studio.,{'create'},{'create'},1
423,A singer performs a heartfelt song on a small stage.,A singer performs a heartfelt song on a small stage.,{'perform'},{'perform'},1
424,A cyclist repairs a flat tire on a scenic trail.,A cyclist repairs a flat tire on a scenic trail.,{'repair'},{'repair'},1
425,A group of friends sets up a volleyball net on the beach.,A group of friends sets up a volleyball net on the beach.,{'set'},{'set'},1
426,A chef prepares a pizza in a wood-fired oven.,A chef prepares a pizza in a wood-fired oven.,"{'fire', 'prepare'}","{'fire', 'prepare'}",2
427,A teacher explains a historical map to curious students.,A teacher explains a historical map to curious students.,{'explain'},{'explain'},1
428,A hiker captures a selfie with a breathtaking mountain view.,A hiker captures a selfie with a breathtaking mountain view.,{'capture'},{'capture'},1
429,A fisherman checks his traps early in the morning fog.,A fisherman checks his traps early in the morning fog.,{'check'},{'check'},1
430,A student organizes books in the school library.,A student organizes books in the school library.,{'organize'},{'organize'},1
431,A woodworker carves intricate designs into a wooden chest.,A woodworker carves intricate designs into a wooden chest.,{'carve'},{'carve'},1
432,A couple practices yoga together in a peaceful park.,A couple practices yoga together in a peaceful park.,{'practice'},{'practice'},1
433,"A kite flies high against a clear blue sky, controlled by a focused child.","A kite flies high against a clear blue sky, controlled by a focused child.","{'fly', 'control'}","{'fly', 'control'}",2
434,A sculptor sands a newly carved statue in her workshop.,A sculptor sands a newly carved statue in her workshop.,"{'sand', 'carve'}","{'sand', 'carve'}",2
435,A gardener harvests vegetables from a community garden.,A gardener harvests vegetables from a community garden.,{'harvest'},{'harvest'},1
436,A group of tourists take pictures of a famous monument.,A group of tourists take pictures of a famous monument.,{'take'},{'take'},1
437,A musician tunes a violin before joining an orchestra.,A musician tunes a violin before joining an orchestra.,"{'tune', 'join'}","{'tune', 'join'}",2
438,A birdwatcher records sightings in a nature reserve.,A birdwatcher records sightings in a nature reserve.,{'record'},{'record'},1
439,A kayaker navigates through rapids with skillful paddling.,A kayaker navigates through rapids with skillful paddling.,{'navigate'},{'navigate'},1
440,A couple enjoys a gondola ride under a starlit sky.,A couple enjoys a gondola ride under a starlit sky.,{'enjoy'},{'enjoy'},1
441,A cyclist dodges puddles on a rainy city street.,A cyclist dodges puddles on a rainy city street.,{'dodge'},{'dodge'},1
442,A group of children sets up a lemonade stand on a sunny day.,A group of children sets up a lemonade stand on a sunny day.,{'set'},{'set'},1
443,A teacher sets up a science experiment in a classroom.,A teacher sets up a science experiment in a classroom.,{'set'},{'set'},1
444,A student solves a complex equation on a classroom chalkboard.,A student solves a complex equation on a classroom chalkboard.,{'solve'},{'solve'},1
445,A climber reaches for the next hold on a challenging route.,A climber reaches for the next hold on a challenging route.,{'reach'},{'reach'},1
446,"A runner jogs through a park, listening to music.","A runner jogs through a park, listening to music.","{'jog', 'listen'}","{'jog', 'listen'}",2
447,A skateboarder grinds a rail in an urban area.,A skateboarder grinds a rail in an urban area.,{'grind'},{'grind'},1
448,A chef slices vegetables for a stir-fry in a busy kitchen.,A chef slices vegetables for a stir-fry in a busy kitchen.,{'slice'},{'slice'},1
449,"A potter shapes a new piece on her wheel, focused and precise.","A potter shapes a new piece on her wheel, focused and precise.",{'shape'},{'shape'},1
450,A dancer stretches at the barre before a rehearsal.,A dancer stretches at the barre before a rehearsal.,{'stretch'},{'stretch'},1
451,A photographer sets up a shot of a bustling city from a high vantage point.,A photographer sets up a shot of a bustling city from a high vantage point.,"{'bustle', 'set'}","{'bustle', 'set'}",2
452,A student writes a poem in a quiet corner of a library.,A student writes a poem in a quiet corner of a library.,{'write'},{'write'},1
453,"A group of friends explores a cave, equipped with headlamps.","A group of friends explores a cave, equipped with headlamps.","{'explore', 'equip'}","{'explore', 'equip'}",2
454,"A baker pulls pies from the oven, filling the air with the smell of fresh fruit.","A baker pulls pies from the oven, filling the air with the smell of fresh fruit.","{'fill', 'pull'}","{'fill', 'pull'}",2
455,A cyclist tunes his bike before a long ride through the hills.,A cyclist tunes his bike before a long ride through the hills.,{'tune'},{'tune'},1
456,"A couple redecorates their living room, choosing colorful paints.","A couple redecorates their living room, choosing colorful paints.","{'redecorate', 'choose', 'live'}","{'redecorate', 'choose', 'live'}",3
457,A street performer swallows fire to the amazement of a crowd.,A street performer swallows fire to the amazement of a crowd.,{'swallow'},{'swallow'},1
458,A child feeds a group of ducks at a local pond.,A child feeds a group of ducks at a local pond.,{'feed'},{'feed'},1
459,A jeweler crafts a delicate silver necklace in her studio.,A jeweler crafts a delicate silver necklace in her studio.,{'craft'},{'craft'},1
460,A gardener trims a hedge in a stately garden.,A gardener trims a hedge in a stately garden.,{'trim'},{'trim'},1
461,A chef flips a steak on a sizzling grill.,A chef flips a steak on a sizzling grill.,"{'flip', 'sizzle'}","{'flip', 'sizzle'}",2
462,"A barista pours cream into a large cup of coffee, creating a perfect swirl.","A barista pours cream into a large cup of coffee, creating a perfect swirl.","{'pour', 'create'}","{'pour', 'create'}",2
463,A student assembles a model airplane in a technology class.,A student assembles a model airplane in a technology class.,{'assemble'},{'assemble'},1
464,A teacher points out constellations on a clear night during a school camp.,A teacher points out constellations on a clear night during a school camp.,{'point'},{'point'},1
465,A cyclist competes in a muddy mountain bike race.,A cyclist competes in a muddy mountain bike race.,{'compete'},{'compete'},1
466,"A painter restores an old mural, bringing colors back to life.","A painter restores an old mural, bringing colors back to life.","{'bring', 'restore'}","{'bring', 'restore'}",2
467,A diver adjusts her gear before exploring a reef.,A diver adjusts her gear before exploring a reef.,"{'adjust', 'explore'}","{'adjust', 'explore'}",2
468,A mechanic checks the alignment of a car in the shop.,A mechanic checks the alignment of a car in the shop.,{'check'},{'check'},1
469,A baker displays freshly made croissants in a cafe window.,A baker displays freshly made croissants in a cafe window.,"{'display', 'make'}","{'display', 'make'}",2
470,A child builds a fort out of blankets and pillows in the living room.,A child builds a fort out of blankets and pillows in the living room.,"{'live', 'build'}","{'live', 'build'}",2
471,"A couple plants a tree in their backyard, celebrating an anniversary.","A couple plants a tree in their backyard, celebrating an anniversary.","{'plant', 'celebrate'}","{'plant', 'celebrate'}",2
472,A teacher sets up a telescope for a night of stargazing with students.,A teacher sets up a telescope for a night of stargazing with students.,"{'set', 'stargaze'}","{'set', 'stargaze'}",2
473,A skateboarder practices a new trick in an empty parking lot.,A skateboarder practices a new trick in an empty parking lot.,{'practice'},{'practice'},1
474,"A chef tastes a spoonful of soup, adjusting the seasoning.","A chef tastes a spoonful of soup, adjusting the seasoning.","{'adjust', 'taste'}","{'adjust', 'taste'}",2
475,A florist selects flowers for a wedding bouquet.,A florist selects flowers for a wedding bouquet.,{'select'},{'select'},1
476,A musician practices the cello in a quiet church.,A musician practices the cello in a quiet church.,{'practice'},{'practice'},1
477,"A student pilots a drone over a scenic landscape, capturing footage.","A student pilots a drone over a scenic landscape, capturing footage.","{'capture', 'pilot'}","{'capture', 'pilot'}",2
478,A baker decorates a chocolate cake with intricate designs.,A baker decorates a chocolate cake with intricate designs.,{'decorate'},{'decorate'},1
479,A child rides a bicycle in the park for the first time.,A child rides a bicycle in the park for the first time.,{'ride'},{'ride'},1
480,A group of friends play frisbee in a sunny field.,A group of friends play frisbee in a sunny field.,{'play'},{'play'},1
481,A teacher explains the laws of physics using a pendulum.,A teacher explains the laws of physics using a pendulum.,"{'explain', 'use'}","{'explain', 'use'}",2
482,A climber chalks up her hands before attempting a new route.,A climber chalks up her hands before attempting a new route.,"{'chalk', 'attempt'}","{'chalk', 'attempt'}",2
483,A fisherman shows a young boy how to bait a hook.,A fisherman shows a young boy how to bait a hook.,"{'bait', 'show'}","{'bait', 'show'}",2
484,A dancer rehearses a contemporary piece in a studio.,A dancer rehearses a contemporary piece in a studio.,{'rehearse'},{'rehearse'},1
485,A gardener waters her vegetable garden in the early morning.,A gardener waters her vegetable garden in the early morning.,{'water'},{'water'},1
486,"A teacher reads a historical document to a class, explaining its significance.","A teacher reads a historical document to a class, explaining its significance.","{'read', 'explain'}","{'read', 'explain'}",2
487,A photographer sets up for a wildlife shoot in a forest.,A photographer sets up for a wildlife shoot in a forest.,{'set'},{'set'},1
488,A couple enjoys a quiet moment watching the sunset from a hilltop.,A couple enjoys a quiet moment watching the sunset from a hilltop.,"{'enjoy', 'watch'}","{'enjoy', 'watch'}",2
489,A group of friends build a campfire and share stories under the stars.,A group of friends build a campfire and share stories under the stars.,"{'build', 'share'}","{'build', 'share'}",2
490,"A student conducts a chemistry experiment, mixing solutions.","A student conducts a chemistry experiment, mixing solutions.","{'conduct', 'mix'}","{'conduct', 'mix'}",2
491,A teacher guides a student through a pottery lesson.,A teacher guides a student through a pottery lesson.,{'guide'},{'guide'},1
492,A climber tackles a challenging indoor climbing wall.,A climber tackles a challenging indoor climbing wall.,"{'challenge', 'tackle'}","{'tackle', 'challenge'}",2
493,A skateboarder zooms past graffiti-covered walls.,A skateboarder zooms past graffiti-covered walls.,"{'zoom', 'cover'}","{'zoom', 'cover'}",2
494,A chef whisks eggs for a fluffy omelette.,A chef whisks eggs for a fluffy omelette.,{'whisk'},{'whisk'},1
495,A birdwatcher sketches a newly discovered bird in her notebook.,A birdwatcher sketches a newly discovered bird in her notebook.,"{'discover', 'sketch'}","{'discover', 'sketch'}",2
496,A student practices a speech for a school competition.,A student practices a speech for a school competition.,{'practice'},{'practice'},1
497,A mechanic polishes a vintage car to a mirror finish.,A mechanic polishes a vintage car to a mirror finish.,{'polish'},{'polish'},1
498,A baker tests the temperature of an oven before baking artisan bread.,A baker tests the temperature of an oven before baking artisan bread.,"{'test', 'bake'}","{'test', 'bake'}",2
499,A dragon meticulously counting golden coins in a dimly lit cave.,A dragon meticulously counting golden coins in a dimly lit cave.,"{'light', 'count'}","{'light', 'count'}",2
500,Ghosts dancing around an ancient oak tree under a full moon.,Ghosts dancing around an ancient oak tree under a full moon.,{'dance'},{'dance'},1
501,A wizard conjuring colorful sparks from a silver wand in a crowded town square.,A wizard conjuring colorful sparks from a silver wand in a crowded town square.,{'conjure'},{'conjure'},1
502,A talking pumpkin narrating stories to a group of enchanted forest creatures.,A talking pumpkin narrating stories to a group of enchanted forest creatures.,"{'talk', 'narrate'}","{'talk', 'narrate'}",2
503,"A group of adventurers climbing a glowing, crystal-covered mountain.","A group of adventurers climbing a glowing, crystal-covered mountain.","{'climb', 'glow', 'cover'}","{'climb', 'glow', 'cover'}",3
504,A robot playing chess with a medieval knight in a futuristic city.,A robot playing chess with a medieval knight in a futuristic city.,{'play'},{'play'},1
505,A pirate ship battling a giant squid in the roiling ocean.,A pirate ship battling a giant squid in the roiling ocean.,"{'battle', 'roil'}","{'battle', 'roil'}",2
506,Elves planting magical seeds that sprout instantly in a lush garden.,Elves planting magical seeds that sprout instantly in a lush garden.,"{'sprout', 'plant'}","{'sprout', 'plant'}",2
507,A cat wearing a detective hat investigating a mysterious disappearance in a small village.,A cat wearing a detective hat investigating a mysterious disappearance in a small village.,"{'wear', 'investigate'}","{'wear', 'investigate'}",2
